system,lig,RMSDi,RMSDf,idx
BRD4,ligand-1,14.53332,0.08948,0
BRD4,ligand-2,3.48216,0.05988,1
BRD4,ligand-3,16.62793,0.02549,2
BRD4,ligand-4,16.26045,0.08918,3
BRD4,ligand-5,7.33152,0.03609,4
BRD4,ligand-6,19.50320,0.03359,5
BRD4,ligand-7,21.96892,5.68439,6
BRD4,ligand-8,3.88834,0.04176,7
BRD4,ligand-9,7.50259,0.04049,8
BRD4,ligand-10,23.96117,0.03058,9
BRD4,ligand-1,14.53332,0.09029,0
BRD4,ligand-2,3.48216,0.05988,1
BRD4,ligand-3,16.62793,0.02549,2
BRD4,ligand-4,16.26045,0.08918,3
BRD4,ligand-5,7.33152,0.03592,4
BRD4,ligand-6,19.50320,0.03355,5
BRD4,ligand-7,21.96892,0.01935,6
BRD4,ligand-8,3.88834,0.03890,7
BRD4,ligand-9,7.50259,0.04049,8
BRD4,ligand-10,23.96117,5.63957,9
BRD4,ligand-1,14.53332,0.08948,0
BRD4,ligand-2,3.48216,0.05988,1
BRD4,ligand-3,16.62793,0.02549,2
BRD4,ligand-4,16.26045,0.08903,3
BRD4,ligand-5,7.33152,0.03478,4
BRD4,ligand-6,19.50320,0.03359,5
BRD4,ligand-7,21.96892,4.77635,6
BRD4,ligand-8,3.88834,0.03551,7
BRD4,ligand-9,7.50259,0.04071,8
BRD4,ligand-10,23.96117,0.02930,9
BRD4,ligand-1,14.53332,0.08948,0
BRD4,ligand-2,3.48216,0.05988,1
BRD4,ligand-3,16.62793,0.02483,2
BRD4,ligand-4,16.26045,0.08917,3
BRD4,ligand-5,7.33152,0.03478,4
BRD4,ligand-6,19.50320,0.03359,5
BRD4,ligand-7,21.96892,0.02039,6
BRD4,ligand-8,3.88834,0.04176,7
BRD4,ligand-9,7.50259,0.04134,8
BRD4,ligand-10,23.96117,0.03058,9
BRD4,ligand-1,14.53332,0.09029,0
BRD4,ligand-2,3.48216,0.05993,1
BRD4,ligand-3,16.62793,0.02549,2
BRD4,ligand-4,16.26045,0.08872,3
BRD4,ligand-5,7.33152,0.03478,4
BRD4,ligand-6,19.50320,0.03355,5
BRD4,ligand-7,21.96892,5.67369,6
BRD4,ligand-8,3.88834,0.04176,7
BRD4,ligand-9,7.50259,0.04049,8
BRD4,ligand-10,23.96117,0.03386,9
BRD4,ligand-1,14.53332,0.09029,0
BRD4,ligand-2,3.48216,0.05988,1
BRD4,ligand-3,16.62793,0.02483,2
BRD4,ligand-4,16.26045,0.08872,3
BRD4,ligand-5,7.33152,0.03462,4
BRD4,ligand-6,19.50320,0.03528,5
BRD4,ligand-7,21.96892,0.01935,6
BRD4,ligand-8,3.88834,0.03551,7
BRD4,ligand-9,7.50259,0.04049,8
BRD4,ligand-10,23.96117,0.03058,9
BRD4,ligand-1,14.53332,0.09029,0
BRD4,ligand-2,3.48216,0.05993,1
BRD4,ligand-3,16.62793,0.02444,2
BRD4,ligand-4,16.26045,0.08903,3
BRD4,ligand-5,7.33152,0.03244,4
BRD4,ligand-6,19.50320,0.03359,5
BRD4,ligand-7,21.96892,0.02039,6
BRD4,ligand-8,3.88834,0.04176,7
BRD4,ligand-9,7.50259,0.04049,8
BRD4,ligand-10,23.96117,0.03058,9
BRD4,ligand-1,14.53332,0.09029,0
BRD4,ligand-2,3.48216,0.05993,1
BRD4,ligand-3,16.62793,0.02483,2
BRD4,ligand-4,16.26045,0.08918,3
BRD4,ligand-5,7.33152,0.03478,4
BRD4,ligand-6,19.50320,0.03355,5
