system,lig,RMSDi,RMSDf,idx
BRD4,ligand-1,14.53332,0.09545,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02412,2
BRD4,ligand-4,16.26045,0.08925,3
BRD4,ligand-5,7.33152,0.03589,4
BRD4,ligand-6,19.50320,0.03417,5
BRD4,ligand-7,21.96892,0.01918,6
BRD4,ligand-8,3.88834,0.03346,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,0.03542,9
CDK2,CS1,7.76049,0.02325,0
CDK2,CS3,33.73753,0.06593,1
CDK2,CS4,45.84626,0.04090,2
CDK2,CS9,21.32396,0.03474,3
CDK2,CS11,45.38319,0.03650,4
CDK2,CS18,52.59247,0.03542,5
CDK2,CS19,40.70418,0.03687,6
CDK2,CS20,53.75269,0.02232,7
CDK2,CS241,9.98424,0.05037,8
CDK2,CS242,18.09239,0.03635,9
CDK2,CS245,8.53487,0.05186,10
CDK2,CS246,47.37760,3.65541,11
CDK2,CS248,22.94933,0.04562,12
CDK2,CS260,19.27760,0.04363,13
CDK2,CS261,52.70932,0.04734,14
CDK2,CS262,8.98557,0.02243,15
