system,lig,RMSDi,RMSDf,idx
BRD4,ligand-1,14.53332,0.09239,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02411,2
BRD4,ligand-4,16.26045,0.08925,3
BRD4,ligand-5,7.33152,0.03589,4
BRD4,ligand-6,19.50320,0.03415,5
BRD4,ligand-7,21.96892,0.01930,6
BRD4,ligand-8,3.88834,0.04132,7
BRD4,ligand-9,7.50259,0.04187,8
BRD4,ligand-10,23.96117,0.03139,9
BRD4,ligand-1,14.53332,0.09275,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02432,2
BRD4,ligand-4,16.26045,0.08925,3
BRD4,ligand-5,7.33152,0.03473,4
BRD4,ligand-6,19.50320,0.03596,5
BRD4,ligand-7,21.96892,0.02397,6
BRD4,ligand-8,3.88834,0.03504,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,0.03396,9
BRD4,ligand-1,14.53332,0.09544,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02374,2
BRD4,ligand-4,16.26045,0.08971,3
BRD4,ligand-5,7.33152,0.03237,4
BRD4,ligand-6,19.50320,0.03146,5
BRD4,ligand-7,21.96892,0.02431,6
BRD4,ligand-8,3.88834,0.03504,7
BRD4,ligand-9,7.50259,0.04042,8
BRD4,ligand-10,23.96117,0.03053,9
BRD4,ligand-1,14.53332,0.09544,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02411,2
BRD4,ligand-4,16.26045,0.09257,3
BRD4,ligand-5,7.33152,0.03206,4
BRD4,ligand-6,19.50320,0.03399,5
BRD4,ligand-7,21.96892,0.01930,6
BRD4,ligand-8,3.88834,0.04132,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,0.03376,9
BRD4,ligand-1,14.53332,0.09544,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02411,2
BRD4,ligand-4,16.26045,0.08971,3
BRD4,ligand-5,7.33152,0.03237,4
BRD4,ligand-6,19.50320,0.03417,5
BRD4,ligand-7,21.96892,0.01849,6
BRD4,ligand-8,3.88834,0.04107,7
BRD4,ligand-9,7.50259,0.04187,8
BRD4,ligand-10,23.96117,0.03031,9
BRD4,ligand-1,14.53332,0.09275,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02411,2
BRD4,ligand-4,16.26045,0.08971,3
BRD4,ligand-5,7.33152,0.03473,4
BRD4,ligand-6,19.50320,0.03575,5
BRD4,ligand-7,21.96892,0.01849,6
BRD4,ligand-8,3.88834,0.04132,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,0.03139,9
BRD4,ligand-1,14.53332,0.09545,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02437,2
BRD4,ligand-4,16.26045,0.08925,3
BRD4,ligand-5,7.33152,0.03473,4
BRD4,ligand-6,19.50320,0.03417,5
BRD4,ligand-7,21.96892,0.01930,6
BRD4,ligand-8,3.88834,0.04132,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,0.03385,9
BRD4,ligand-1,14.53332,0.09368,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02411,2
BRD4,ligand-4,16.26045,0.09257,3
BRD4,ligand-5,7.33152,0.03473,4
BRD4,ligand-6,19.50320,0.03408,5
BRD4,ligand-7,21.96892,4.77014,6
BRD4,ligand-8,3.88834,0.04117,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,0.03031,9
BRD4,ligand-1,14.53332,0.09265,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02515,2
BRD4,ligand-4,16.26045,0.08971,3
BRD4,ligand-5,7.33152,0.03473,4
BRD4,ligand-6,19.50320,0.03596,5
BRD4,ligand-7,21.96892,0.01930,6
BRD4,ligand-8,3.88834,0.04132,7
BRD4,ligand-9,7.50259,0.04134,8
BRD4,ligand-10,23.96117,0.02897,9
BRD4,ligand-1,14.53332,0.09545,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02374,2
BRD4,ligand-4,16.26045,0.08971,3
BRD4,ligand-5,7.33152,0.03473,4
BRD4,ligand-6,19.50320,0.03415,5
BRD4,ligand-7,21.96892,4.76884,6
BRD4,ligand-8,3.88834,0.04132,7
BRD4,ligand-9,7.50259,0.04134,8
BRD4,ligand-10,23.96117,0.03053,9
BRD4,ligand-1,14.53332,0.09544,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02339,2
BRD4,ligand-4,16.26045,0.08925,3
BRD4,ligand-5,7.33152,0.03589,4
BRD4,ligand-6,19.50320,0.02710,5
BRD4,ligand-7,21.96892,0.01849,6
BRD4,ligand-8,3.88834,0.04132,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,0.03031,9
BRD4,ligand-1,14.53332,0.09368,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02374,2
BRD4,ligand-4,16.26045,0.08925,3
BRD4,ligand-5,7.33152,0.03473,4
BRD4,ligand-6,19.50320,0.03417,5
BRD4,ligand-7,21.96892,0.01930,6
BRD4,ligand-8,3.88834,0.04132,7
BRD4,ligand-9,7.50259,0.04090,8
BRD4,ligand-10,23.96117,0.03376,9
BRD4,ligand-1,14.53332,0.09275,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02411,2
BRD4,ligand-4,16.26045,0.09012,3
BRD4,ligand-5,7.33152,0.03589,4
BRD4,ligand-6,19.50320,0.03417,5
BRD4,ligand-7,21.96892,4.77742,6
BRD4,ligand-8,3.88834,0.03724,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,0.03385,9
BRD4,ligand-1,14.53332,0.09275,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02411,2
BRD4,ligand-4,16.26045,0.08925,3
BRD4,ligand-5,7.33152,0.03589,4
BRD4,ligand-6,19.50320,0.03575,5
BRD4,ligand-7,21.96892,0.01930,6
BRD4,ligand-8,3.88834,0.03504,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,0.03143,9
BRD4,ligand-1,14.53332,0.09544,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02433,2
BRD4,ligand-4,16.26045,0.08925,3
BRD4,ligand-5,7.33152,0.03605,4
BRD4,ligand-6,19.50320,0.03417,5
BRD4,ligand-7,21.96892,4.76801,6
BRD4,ligand-8,3.88834,0.03328,7
BRD4,ligand-9,7.50259,0.04072,8
BRD4,ligand-10,23.96117,0.03031,9
BRD4,ligand-1,14.53332,0.09544,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02411,2
BRD4,ligand-4,16.26045,0.08971,3
BRD4,ligand-5,7.33152,0.03462,4
BRD4,ligand-6,19.50320,0.03417,5
BRD4,ligand-7,21.96892,0.01930,6
BRD4,ligand-8,3.88834,0.04107,7
BRD4,ligand-9,7.50259,0.04134,8
BRD4,ligand-10,23.96117,0.03031,9
BRD4,ligand-1,14.53332,0.09275,0
BRD4,ligand-2,3.48216,0.05933,1
BRD4,ligand-3,16.62793,0.02432,2
BRD4,ligand-4,16.26045,0.08971,3
BRD4,ligand-5,7.33152,0.03589,4
BRD4,ligand-6,19.50320,0.03211,5
BRD4,ligand-7,21.96892,0.01930,6
BRD4,ligand-8,3.88834,0.04132,7
BRD4,ligand-9,7.50259,0.04134,8
BRD4,ligand-10,23.96117,0.03031,9
BRD4,ligand-1,14.53332,0.09275,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02411,2
BRD4,ligand-4,16.26045,0.08971,3
BRD4,ligand-5,7.33152,0.03589,4
BRD4,ligand-6,19.50320,0.03417,5
BRD4,ligand-7,21.96892,0.01930,6
BRD4,ligand-8,3.88834,0.04117,7
BRD4,ligand-9,7.50259,0.04072,8
BRD4,ligand-10,23.96117,0.03348,9
BRD4,ligand-1,14.53332,0.09332,0
BRD4,ligand-2,3.48216,0.05933,1
BRD4,ligand-3,16.62793,0.02374,2
BRD4,ligand-4,16.26045,0.08925,3
BRD4,ligand-5,7.33152,0.03605,4
BRD4,ligand-6,19.50320,0.03417,5
BRD4,ligand-7,21.96892,0.01930,6
BRD4,ligand-8,3.88834,0.03504,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,0.03031,9
BRD4,ligand-1,14.53332,0.09332,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02411,2
BRD4,ligand-4,16.26045,0.08925,3
BRD4,ligand-5,7.33152,0.03473,4
BRD4,ligand-6,19.50320,0.03417,5
BRD4,ligand-7,21.96892,0.01930,6
BRD4,ligand-8,3.88834,0.03504,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,5.64372,9
BRD4,ligand-1,14.53332,0.09544,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02433,2
BRD4,ligand-4,16.26045,0.08971,3
BRD4,ligand-5,7.33152,0.03193,4
BRD4,ligand-6,19.50320,0.03399,5
BRD4,ligand-7,21.96892,0.01849,6
BRD4,ligand-8,3.88834,0.04107,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,0.03542,9
BRD4,ligand-1,14.53332,0.09545,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02411,2
BRD4,ligand-4,16.26045,0.08925,3
BRD4,ligand-5,7.33152,0.03473,4
BRD4,ligand-6,19.50320,0.03596,5
BRD4,ligand-7,21.96892,0.01930,6
BRD4,ligand-8,3.88834,0.03504,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,0.03396,9
BRD4,ligand-1,14.53332,0.09544,0
BRD4,ligand-2,3.48216,0.05933,1
BRD4,ligand-3,16.62793,0.02374,2
BRD4,ligand-4,16.26045,0.08925,3
BRD4,ligand-5,7.33152,0.03473,4
BRD4,ligand-6,19.50320,0.03417,5
BRD4,ligand-7,21.96892,0.01918,6
BRD4,ligand-8,3.88834,0.04107,7
BRD4,ligand-9,7.50259,0.03849,8
BRD4,ligand-10,23.96117,5.62816,9
BRD4,ligand-1,14.53332,0.09261,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02374,2
BRD4,ligand-4,16.26045,0.08971,3
BRD4,ligand-5,7.33152,0.03605,4
BRD4,ligand-6,19.50320,0.03415,5
BRD4,ligand-7,21.96892,0.01930,6
BRD4,ligand-8,3.88834,0.04132,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,0.03012,9
BRD4,ligand-1,14.53332,0.09239,0
BRD4,ligand-2,3.48216,0.06045,1
BRD4,ligand-3,16.62793,0.02411,2
BRD4,ligand-4,16.26045,0.08925,3
BRD4,ligand-5,7.33152,0.03473,4
BRD4,ligand-6,19.50320,0.03417,5
BRD4,ligand-7,21.96892,0.01849,6
BRD4,ligand-8,3.88834,0.03724,7
BRD4,ligand-9,7.50259,0.04050,8
BRD4,ligand-10,23.96117,0.03031,9
CDK2,CS1,7.76049,0.02333,0
CDK2,CS3,33.73753,0.06373,1
CDK2,CS4,45.84626,0.03848,2
CDK2,CS9,21.32396,0.03474,3
CDK2,CS11,45.38319,0.03650,4
CDK2,CS18,52.59247,6.86786,5
CDK2,CS19,40.70418,0.03664,6
CDK2,CS20,53.75269,0.02232,7
CDK2,CS241,9.98424,0.04973,8
CDK2,CS242,18.09239,0.03635,9
CDK2,CS245,8.53487,0.05186,10
CDK2,CS246,47.37760,0.04935,11
CDK2,CS248,22.94933,0.04508,12
CDK2,CS260,19.27760,0.04363,13
CDK2,CS261,52.70932,0.04888,14
CDK2,CS262,8.98557,0.01988,15
CDK2,CS1,7.76049,0.02333,0
CDK2,CS3,33.73753,0.05840,1
CDK2,CS4,45.84626,0.04277,2
CDK2,CS9,21.32396,0.03474,3
CDK2,CS11,45.38319,0.03650,4
CDK2,CS18,52.59247,6.83331,5
CDK2,CS19,40.70418,0.03614,6
CDK2,CS20,53.75269,6.99432,7
CDK2,CS241,9.98424,0.04973,8
CDK2,CS242,18.09239,0.03635,9
CDK2,CS245,8.53487,0.04882,10
CDK2,CS246,47.37760,0.04935,11
CDK2,CS248,22.94933,0.04594,12
CDK2,CS260,19.27760,0.04284,13
CDK2,CS261,52.70932,0.04734,14
CDK2,CS262,8.98557,0.01988,15
CDK2,CS1,7.76049,0.02333,0
CDK2,CS3,33.73753,0.06364,1
CDK2,CS4,45.84626,0.04126,2
CDK2,CS9,21.32396,0.03474,3
CDK2,CS11,45.38319,0.03650,4
CDK2,CS18,52.59247,0.03848,5
CDK2,CS19,40.70418,0.03762,6
CDK2,CS20,53.75269,7.00075,7
CDK2,CS241,9.98424,0.04973,8
CDK2,CS242,18.09239,0.03453,9
CDK2,CS245,8.53487,0.04834,10
CDK2,CS246,47.37760,0.04935,11
CDK2,CS248,22.94933,0.04562,12
CDK2,CS260,19.27760,0.04103,13
CDK2,CS261,52.70932,0.04734,14
CDK2,CS262,8.98557,0.01988,15
CDK2,CS1,7.76049,0.02311,0
CDK2,CS3,33.73753,0.06364,1
CDK2,CS4,45.84626,0.04090,2
CDK2,CS9,21.32396,0.03519,3
CDK2,CS11,45.38319,0.03650,4
CDK2,CS18,52.59247,0.03848,5
CDK2,CS19,40.70418,0.03614,6
CDK2,CS20,53.75269,6.99897,7
CDK2,CS241,9.98424,0.05036,8
CDK2,CS242,18.09239,0.03635,9
