system,lig,RMSDi,RMSDf,idx
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.03626,1
BRD4,ligand-3,16.84248,5.17350,2
BRD4,ligand-4,16.53207,0.21341,3
BRD4,ligand-5,7.52279,0.05415,4
BRD4,ligand-6,18.10477,2.35131,5
BRD4,ligand-7,22.28424,0.05962,6
BRD4,ligand-8,3.88459,0.09477,7
BRD4,ligand-9,7.18229,0.09587,8
BRD4,ligand-10,23.02175,0.09101,9
CDK2,CS1,7.74656,0.15815,0
CDK2,CS3,33.22337,0.05937,1
CDK2,CS4,44.13695,0.07472,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.04894,4
CDK2,CS18,51.88426,0.04052,5
CDK2,CS19,39.20774,0.06509,6
CDK2,CS20,52.54937,5.47744,7
CDK2,CS241,9.43909,0.06740,8
CDK2,CS242,16.97749,0.03413,9
CDK2,CS245,8.53487,0.03908,10
CDK2,CS246,46.30233,0.07589,11
CDK2,CS248,21.83363,0.06738,12
CDK2,CS260,19.39364,6.82188,13
CDK2,CS261,51.52277,6.60289,14
CDK2,CS262,9.11424,0.08545,15
