system,lig,RMSDi,RMSDf,idx
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.03541,1
BRD4,ligand-3,16.84248,5.46795,2
BRD4,ligand-4,16.53207,3.92420,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,5.77730,5
BRD4,ligand-7,22.28424,0.05962,6
BRD4,ligand-8,3.88459,0.09818,7
BRD4,ligand-9,7.18229,0.11101,8
BRD4,ligand-10,23.02175,4.61157,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.03626,1
BRD4,ligand-3,16.84248,5.50823,2
BRD4,ligand-4,16.53207,0.16924,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,6.58551,5
BRD4,ligand-7,22.28424,3.69359,6
BRD4,ligand-8,3.88459,0.09702,7
BRD4,ligand-9,7.18229,0.09587,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.03645,1
BRD4,ligand-3,16.84248,5.46786,2
BRD4,ligand-4,16.53207,0.14095,3
BRD4,ligand-5,7.52279,0.05415,4
BRD4,ligand-6,18.10477,2.36766,5
BRD4,ligand-7,22.28424,3.55005,6
BRD4,ligand-8,3.88459,0.09477,7
BRD4,ligand-9,7.18229,0.09587,8
BRD4,ligand-10,23.02175,5.20052,9
BRD4,ligand-1,14.74149,0.07488,0
BRD4,ligand-2,3.47663,0.04540,1
BRD4,ligand-3,16.84248,5.46786,2
BRD4,ligand-4,16.53207,0.25707,3
BRD4,ligand-5,7.52279,0.05415,4
BRD4,ligand-6,18.10477,2.36951,5
BRD4,ligand-7,22.28424,3.69350,6
BRD4,ligand-8,3.88459,0.09437,7
BRD4,ligand-9,7.18229,0.09587,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.05637,1
BRD4,ligand-3,16.84248,5.50823,2
BRD4,ligand-4,16.53207,0.14095,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,5.77462,5
BRD4,ligand-7,22.28424,3.69350,6
BRD4,ligand-8,3.88459,0.09634,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,5.20108,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.03685,1
BRD4,ligand-3,16.84248,5.46795,2
BRD4,ligand-4,16.53207,3.85652,3
BRD4,ligand-5,7.52279,0.05744,4
BRD4,ligand-6,18.10477,2.35602,5
BRD4,ligand-7,22.28424,3.69350,6
BRD4,ligand-8,3.88459,0.09818,7
BRD4,ligand-9,7.18229,0.09819,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.07488,0
BRD4,ligand-2,3.47663,0.03645,1
BRD4,ligand-3,16.84248,5.67132,2
BRD4,ligand-4,16.53207,3.92698,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,2.35131,5
BRD4,ligand-7,22.28424,3.62802,6
BRD4,ligand-8,3.88459,0.09702,7
BRD4,ligand-9,7.18229,0.06989,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.03626,1
BRD4,ligand-3,16.84248,5.67132,2
BRD4,ligand-4,16.53207,0.16924,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,5.77728,5
BRD4,ligand-7,22.28424,0.05962,6
BRD4,ligand-8,3.88459,0.09437,7
BRD4,ligand-9,7.18229,0.07723,8
BRD4,ligand-10,23.02175,5.20164,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.03645,1
BRD4,ligand-3,16.84248,5.46786,2
BRD4,ligand-4,16.53207,4.42474,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,2.35131,5
BRD4,ligand-7,22.28424,3.73710,6
BRD4,ligand-8,3.88459,0.09477,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,5.20052,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.03645,1
BRD4,ligand-3,16.84248,5.50787,2
BRD4,ligand-4,16.53207,0.14095,3
BRD4,ligand-5,7.52279,0.05415,4
BRD4,ligand-6,18.10477,2.35396,5
BRD4,ligand-7,22.28424,3.69350,6
BRD4,ligand-8,3.88459,0.09375,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.03685,1
BRD4,ligand-3,16.84248,5.46786,2
BRD4,ligand-4,16.53207,0.21341,3
BRD4,ligand-5,7.52279,0.05415,4
BRD4,ligand-6,18.10477,2.36946,5
BRD4,ligand-7,22.28424,3.58393,6
BRD4,ligand-8,3.88459,0.09555,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.07689,0
BRD4,ligand-2,3.47663,0.03626,1
BRD4,ligand-3,16.84248,5.46795,2
BRD4,ligand-4,16.53207,0.16924,3
BRD4,ligand-5,7.52279,0.05415,4
BRD4,ligand-6,18.10477,2.36951,5
BRD4,ligand-7,22.28424,3.75577,6
BRD4,ligand-8,3.88459,0.09818,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.07492,0
BRD4,ligand-2,3.47663,0.03645,1
BRD4,ligand-3,16.84248,5.46795,2
BRD4,ligand-4,16.53207,3.92420,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,2.36766,5
BRD4,ligand-7,22.28424,3.69359,6
BRD4,ligand-8,3.88459,0.09373,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.07488,0
BRD4,ligand-2,3.47663,0.03626,1
BRD4,ligand-3,16.84248,5.50823,2
BRD4,ligand-4,16.53207,0.16924,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,2.35131,5
BRD4,ligand-7,22.28424,3.69534,6
BRD4,ligand-8,3.88459,0.09634,7
BRD4,ligand-9,7.18229,0.09587,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.07689,0
BRD4,ligand-2,3.47663,0.03645,1
BRD4,ligand-3,16.84248,5.46795,2
BRD4,ligand-4,16.53207,0.16924,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,5.77443,5
BRD4,ligand-7,22.28424,3.69359,6
BRD4,ligand-8,3.88459,0.09555,7
BRD4,ligand-9,7.18229,0.08573,8
BRD4,ligand-10,23.02175,5.13774,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.05293,1
BRD4,ligand-3,16.84248,5.66971,2
BRD4,ligand-4,16.53207,0.21341,3
BRD4,ligand-5,7.52279,0.05415,4
BRD4,ligand-6,18.10477,2.36951,5
BRD4,ligand-7,22.28424,0.05962,6
BRD4,ligand-8,3.88459,0.09373,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.07492,0
BRD4,ligand-2,3.47663,0.03626,1
BRD4,ligand-3,16.84248,5.46795,2
BRD4,ligand-4,16.53207,0.16924,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,2.36951,5
BRD4,ligand-7,22.28424,0.05962,6
BRD4,ligand-8,3.88459,0.09437,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,5.19666,9
BRD4,ligand-1,14.74149,0.07488,0
BRD4,ligand-2,3.47663,0.03522,1
BRD4,ligand-3,16.84248,5.50787,2
BRD4,ligand-4,16.53207,0.25707,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,6.17410,5
BRD4,ligand-7,22.28424,0.05962,6
BRD4,ligand-8,3.88459,0.09477,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.05293,1
BRD4,ligand-3,16.84248,5.17350,2
BRD4,ligand-4,16.53207,0.25707,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,5.77429,5
BRD4,ligand-7,22.28424,0.05962,6
BRD4,ligand-8,3.88459,0.09477,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,0.11361,9
BRD4,ligand-1,14.74149,0.07039,0
BRD4,ligand-2,3.47663,0.03626,1
