MW,CLogP,HBD,TPSA,RotBonds,SMILES
210.273,-0.209,0,46.340,3,Cc1noc(C)c1CC(C)C(=O)N(C)C
238.713,2.918,1,32.340,3,O=C(CN1CCCC1)Nc1cccc(Cl)c1
220.289,1.012,0,49.850,1,COC1CN(S(=O)(=O)N2CCCC2)C1
236.214,1.957,2,47.280,3,NC(=S)Nc1ccc(OC(F)(F)F)cc1
220.289,-0.158,1,66.480,2,CS(=O)(=O)NCC(=O)N1CCCCC1
245.249,3.078,1,38.330,4,O=C(COc1ccccc1)Nc1cccc(F)c1
248.301,2.290,1,51.220,4,COCC(=O)Nc1nc(-c2ccccc2)cs1
192.218,-0.394,1,59.810,1,Cc1nc2[nH]c(C(C)C)cc(=O)n2n1
239.744,2.545,1,32.500,3,NCCN1CCN(c2cccc(Cl)c2)CC1
226.295,0.819,1,63.400,1,Cl.N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1
241.310,2.486,1,64.110,4,COC(=O)Nc1nnc(CC2CCCC2)s1
150.178,0.341,1,41.990,1,CC(=O)Nc1cnccc1C
220.291,1.024,0,33.200,2,Cc1ccn(Cc2csc(C)n2)c(=O)c1
215.226,0.723,1,86.460,3,COC(=O)c1ccc(S(N)(=O)=O)cc1
228.270,2.425,1,52.890,2,N#Cc1ccc(NC(=O)c2cccs2)cc1
207.272,0.901,1,45.230,3,CC(C)Nc1ncccc1C(=O)N(C)C
186.251,0.182,1,55.560,2,CC(C)C(N)C(=O)N1CCOCC1
179.219,-0.231,1,50.950,2,C1CC(c2nc(C3CC3)no2)CN1.Cl
159.183,-1.501,1,49.770,1,CC(=O)N1CCOC(CO)C1
227.303,-0.659,2,75.430,2,CC(C)(C)NC(=O)N1CCC(C(N)=O)CC1
191.273,3.089,1,37.810,2,c1cnc(NC2CCCCCC2)nc1
204.228,-0.573,1,59.290,2,CC(=O)NC(C)c1nnc2ccccn12
229.274,2.475,2,41.490,4,COc1ccc(NCc2ccccc2O)cc1
222.267,0.639,2,70.670,3,Cc1csc(CNC(=O)c2cc[nH]n2)n1
249.372,3.289,1,29.100,4,O=C(CSc1ccccc1)NC1CCCCC1
224.256,0.689,4,81.590,4,CC(CO)(CO)NC(=O)Nc1ccccc1
217.260,2.204,1,46.170,2,CC(C)NS(=O)(=O)c1ccccc1F
180.247,0.869,2,49.490,4,CCN(CCO)c1ccc(N)cc1
243.261,1.240,1,64.110,4,Cc1ccccc1OCC(=O)Nc1ncccn1
246.348,3.047,1,32.340,3,CCC(=O)Nc1ccc(N2CCC(C)CC2)cc1
140.137,1.816,0,39.440,3,CCOC(=O)c1ccoc1
247.240,3.243,1,29.100,3,O=C(Cc1ccc(F)cc1)Nc1ccc(F)cc1
247.333,2.918,0,29.540,4,CC(C)COc1ccc(C(=O)N2CCCC2)cc1
224.258,2.636,1,38.050,2,OCc1ccc(-n2cnc3ccccc32)cc1
231.251,3.838,3,78.270,4,Oc1ncc(NCCc2ccccc2)c(O)n1
242.295,0.423,2,75.270,3,CCNC(=O)c1ccc(NS(C)(=O)=O)cc1
208.257,0.719,0,34.590,3,COCC1CN(c2ccccn2)CCO1
157.253,1.634,1,23.470,3,CN(CCO)C1CCCCC1
196.634,1.834,1,41.990,2,O=C(NC1CC1)c1ccc(Cl)cn1
204.225,0.378,1,62.120,4,COc1ccc(CNC(=O)CC#N)cc1
217.221,1.608,2,62.470,2,Cc1ccc(NC(=O)c2ccco2)cc1O
182.243,0.848,2,47.280,2,COc1ccccc1NC(N)=S
241.285,3.380,1,38.330,4,CCOc1ccc(C(=O)Nc2ccccc2)cc1
204.268,2.239,1,41.990,3,Cc1cccc(C(=O)NC(C)C2CC2)n1
248.228,3.704,2,41.130,2,O=C(Nc1ccc(F)cc1)Nc1ccc(F)cc1
213.300,1.410,2,58.040,3,Cc1nsc(NC2CCCC2CO)n1
203.240,1.178,1,60.910,2,Cc1cc2ncn(CC(N)=O)c2cc1C
197.206,1.535,0,29.540,3,CN(C)C(=O)COc1cccc(F)c1
206.119,2.703,1,46.530,3,O=C(O)c1ccccc1OC(F)(F)F
229.253,1.277,1,72.470,3,COC(=O)c1cccc(NS(C)(=O)=O)c1
242.295,-0.818,2,89.260,4,CC(=O)NCCc1ccc(S(N)(=O)=O)cc1
241.285,2.591,2,49.330,4,O=C(CCc1ccccc1)Nc1ccc(O)cc1
224.323,1.606,0,33.200,1,CC1CCCN(C(=O)c2cscn2)CC1
243.218,0.812,3,83.370,2,O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1ccco1
199.634,3.063,1,38.330,3,CCOC(=O)Nc1cccc(Cl)c1
227.323,2.894,0,37.380,3,CCN(CC)S(=O)(=O)c1ccc(C)cc1
216.231,0.016,1,33.090,3,FC(F)n1ccnc1CN1CCNCC1
238.349,1.947,0,23.550,2,CC(C)N1CCN(C(=O)c2cccs2)CC1
243.280,1.304,1,64.630,3,CCS(=O)(=O)NCc1ccc2c(c1)OCO2
158.241,-0.701,1,38.490,2,CN(C)C1(CN)CCOCC1
222.240,-0.025,2,67.430,4,COCC(=O)Nc1cccc(NC(C)=O)c1
222.264,1.760,1,55.130,3,Cc1cc(C(=O)NCc2cccs2)no1
210.248,1.581,1,34.150,2,Fc1cccnc1NC1CCCOCC1
207.269,2.620,2,49.330,4,CCC(CC)C(=O)Nc1ccccc1O
247.290,2.564,0,38.770,1,O=C(c1ccc2c(c1)OCO2)N1CCCCCC1
223.334,2.593,0,12.470,4,c1ccc(SCCN2CCOCC2)cc1
228.333,3.678,1,19.030,2,CC1CCN(Cc2c[nH]c3ccccc23)CC1
217.267,1.431,2,57.780,4,CCCC(=O)NCc1nc2ccccc2[nH]1
247.253,-0.008,2,81.070,3,COc1ccc(C)cc1NC(=O)Nn1cnnc1
159.183,-1.545,2,72.550,2,NC(=O)C(O)C1CCOCC1
248.278,0.797,1,58.640,2,CC(=O)c1cccc(NC(=O)N2CCOCC2)c1
241.288,3.483,2,54.020,2,Cc1cc(C)nc(NC(=O)Nc2ccccc2)c1
236.310,2.970,2,50.360,4,CCOc1ccc(NC(=O)NC(C)(C)C)cc1
221.274,-0.143,0,63.680,4,CCOC(=O)CN1CCS(=O)(=O)CC1
169.264,2.101,1,29.100,3,CNC(=O)CCC1CCCCC1
190.242,0.346,1,41.990,3,CC(NC(=O)C1CC1)c1cccnc1
191.183,1.437,0,59.320,4,COC(=O)COc1ccc(C#N)cc1
199.250,-0.223,1,52.650,1,CCNC(=O)N1CCN(C(C)=O)CC1
243.258,2.240,2,58.560,4,O=C(COc1ccccc1)Nc1ccccc1O
224.223,-0.052,1,46.330,3,Cl.N[C@@H]1CCCN(C(=O)CCC(F)(F)F)C1
140.183,-0.123,0,36.260,2,N#CCCN1CCOCC1
206.241,0.806,2,72.190,3,CC(C)C(=O)Nc1cccc(C(N)=O)c1
203.234,0.916,1,60.160,2,Cc1ccc(CS(N)(=O)=O)cc1F
223.247,0.687,1,49.570,1,NC(=O)N1CCN(c2ccc(F)cc2)CC1
171.283,-0.183,1,32.500,2,CN1CCN(CCN)CC1(C)C
205.213,0.676,3,70.230,2,CCC(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
224.730,3.316,1,29.260,1,CC1CCN(c2ccc(N)cc2Cl)CC1.Cl
247.316,1.369,1,54.880,3,CCc1ccccc1NC(=O)c1snnc1C
175.136,-1.004,1,60.910,2,Cn1cc(C(N)=O)c(C(F)F)n1
159.183,0.871,0,38.770,2,CCOC(=O)N1CCOCC1
200.278,0.240,0,32.780,3,COCC(C)N1CCN(C(C)=O)CC1
241.245,1.428,2,70.920,3,O=C(NCc1nc2ccccc2[nH]1)c1ccco1
193.242,1.480,1,38.330,4,COCC(=O)NCc1ccc(C)cc1
134.135,0.837,0,45.910,1,COc1cccnc1C#N
170.252,0.567,1,46.330,1,CC(N)C(=O)N1CCCCC1C
245.340,3.325,1,29.100,3,Cc1ccc(CNC(=O)c2sccc2C)cc1
231.247,3.498,0,52.330,4,CCOC(=O)c1cc(-c2ccc(C)cc2)no1
244.256,3.216,1,29.260,2,Nc1cc(C(F)(F)F)ccc1N1CCCCC1
227.691,0.783,1,46.920,2,Cn1cc(Cl)c(C(=O)NC2CCCC2)n1
242.112,2.155,1,43.090,3,CC(Cc1ccc(Br)cc1)C(N)=O
230.241,0.554,2,112.480,3,COC(=O)c1ccc(S(N)(=O)=O)c(N)c1
180.227,2.126,1,48.140,1,COc1ccc2sc(N)nc2c1
236.310,3.393,1,55.130,4,Cc1cc(NC(=O)CCC2CCCCC2)no1
199.252,1.566,1,37.810,3,Cc1cncc(NCc2ccncc2)c1
186.155,2.247,0,26.300,3,CC(=O)c1ccc(OC(F)F)cc1
155.155,-1.551,2,81.140,3,NC(=O)c1cnn(CCO)c1
214.242,-0.312,2,89.260,2,CS(=O)(=O)Nc1ccc(C(N)=O)cc1
248.296,2.077,0,23.550,2,O=C(C1CC1)N1CCN(c2ccc(F)cc2)CC1
248.321,2.234,1,41.570,2,CC(C)c1ccc(NC(=O)N2CCOCC2)cc1
252.311,1.903,1,46.330,2,Nc1ccc(CC(=O)N2CCc3ccccc32)cc1
204.268,1.956,1,32.340,2,CNC1CCCN(c2ccccc2)C1=O
244.312,2.539,1,41.990,3,O=C(Nc1nccs1)[C@@H]1C[C@H]1c1ccccc1
227.259,2.306,0,33.450,1,Cc1occc1C(=O)N1CCc2ccccc21
222.302,2.673,1,15.270,3,CCN1CCC(Nc2ccccc2F)CC1
246.348,0.237,1,32.340,4,CC(=O)N1CCC(NCCc2ccccc2)CC1
247.268,2.040,1,46.920,4,CCn1cc(C(=O)NCc2ccc(F)cc2)cn1
171.194,0.155,2,66.400,3,CC(=O)NC(C)(C(=O)O)C1CC1
220.243,1.320,2,44.890,3,CC(=O)NCCc1c[nH]c2ccc(F)cc12
234.251,1.293,1,58.640,3,O=C1CN(C(=O)COc2ccccc2)CCN1
188.226,2.030,1,52.890,2,CC(C)C(=O)Nc1cccc(C#N)c1
214.262,0.535,1,50.800,2,O=C(NCC1CCCO1)N1CCOCC1
246.305,2.062,2,58.200,3,CC(=O)Nc1ccc(NC(=O)[C@H]2CC2(C)C)cc1
198.305,1.424,0,23.550,2,CC(C)C(=O)N1CCN(C(C)C)CC1
248.278,1.213,2,67.430,4,COc1ccc(CCC2(C)NC(=O)NC2=O)cc1
177.200,1.360,2,49.330,3,O=C(O)C1(Nc2ccccc2)CC1
181.189,0.289,2,58.560,3,COCC(=O)Nc1ccc(O)cc1
178.231,0.419,1,46.330,2,CCN(C)C(=O)c1cccc(N)c1
213.275,2.361,1,35.250,3,COc1ccc(C(N)c2ccccc2)cc1.Cl
203.197,2.299,1,68.010,2,Cc1ccccc1-n1cc(C(=O)O)nn1
226.295,1.347,1,63.400,1,CN1CCCc2ccc(S(N)(=O)=O)cc21
211.261,-0.678,1,62.390,3,Cc1noc(CN2CCC(CO)CC2)n1
174.199,1.043,2,44.890,1,CNC(=O)c1cccc2cc[nH]c12
247.290,3.071,1,55.400,4,COC(=O)c1ccc(NC(=O)C2CCCC2)cc1
193.203,-0.136,3,84.220,2,CC(=O)Nc1cccc(NC(N)=O)c1
236.214,1.957,2,47.280,3,NC(=S)Nc1ccccc1OC(F)(F)F
283.322,0.667,1,63.990,2,Cc1nn(C)c(C)c1NS(=O)(=O)c1cccc(F)c1
157.214,-0.968,2,44.370,2,CNC(=O)CN1CCNCC1
193.242,1.172,1,32.700,2,Oc1ccccc1CN1CCOCC1
175.209,-0.549,1,66.060,1,CN(C)S(=O)(=O)c1c[nH]cn1
194.252,-0.372,0,49.850,0,CN(C)S(=O)(=O)N1CCOCC1
205.217,-0.259,1,64.740,3,Cn1ccc(NC(=O)Cn2cccn2)n1
238.258,2.648,0,32.780,2,COC(=O)N1CCN(c2ccc(F)cc2)CC1
187.193,-1.345,2,77.840,1,CC(=O)N1CCCC(O)(C(=O)O)C1
238.349,3.516,1,41.990,4,Cc1cnc(NC(=O)CCC2CCCC2)s1
244.264,3.012,2,41.130,3,O=C(NCc1ccc(F)cc1)Nc1ccccc1
248.278,2.365,1,68.270,3,Cc1occc1C(=O)Nc1cc(C(C)(C)C)on1
