regid,smiles,Pgood
S1,c1cc[nH]c1,0.99
S10,c1c[nH]nn1,0.98
S100,O=C1C=CSC=C1,0.92
S1000,O=C1OC(=O)c2sccc2S1,0.86
S1001,O=C1OC(=O)c2ccsc2S1,0.85
S10016,O=C1NN=Cc2c[nH]cc12,0.98
S10017,O=C1NN=Cc2cocc12,0.98
S10018,O=C1NN=Cc2cscc12,0.99
S10019,O=C1NN=Cc2n[nH]cc12,0.98
S1002,O=C1Sc2ccsc2SC1=O,0.93
S10020,O=C1NN=Cc2c[nH]nc12,0.97
S10021,O=C1NN=Cc2nocc12,0.98
S10022,O=C1NN=Cc2conc12,0.97
S10023,O=C1NN=Cc2nscc12,0.94
S10024,O=C1NN=Cc2csnc12,0.94
S10025,O=C1NN=Cc2n[nH]nc12,0.98
S10026,O=C1NN=Cc2nonc12,0.96
S10027,O=C1NN=Cc2nsnc12,0.96
S10028,O=C1NC=C2C(=O)NN=CC2=C1,0.96
S10029,O=C1NC=C2C=NNC(=O)C2=C1,0.96
S10034,O=C1NN=CC2=C1C(=O)NN=C2,0.97
S10035,O=C1NN=CC2=C1C=NNC2=O,0.97
S10038,O=C1NC2=C(C=NNC2=O)C=N1,0.81
S10039,O=C1NC2=C(C=N1)C(=O)NN=C2,0.83
S10040,O=C1NC=C2C=NNC(=O)C2=N1,0.94
S10041,O=C1NC=C2C(=O)NN=CC2=N1,0.94
S10044,O=C1ON=C2C(=O)NN=CC2=C1,0.81
S10048,O=C1NN=CC2=COC(=O)N=C12,0.86
S1005,c1cc2cc[nH]n2n1,0.94
S10058,O=C1NC2=C(N=C1)C(=O)NN=C2,0.92
S10059,O=C1NC2=C(C=NNC2=O)N=C1,0.92
S1006,c1cc2[nH]ccn2n1,0.99
S10060,O=C1NC2=C(N=N1)C(=O)NN=C2,0.58
S10061,O=C1NC2=C(C=NNC2=O)N=N1,0.57
S10062,O=C1NC(=O)C2=C(N1)C=NNC2=O,0.96
S10063,O=C1NC(=O)C2=C(N1)C(=O)NN=C2,0.96
S10064,O=C1NC2=C(NC1=O)C(=O)NN=C2,0.84
S1007,c1n[nH]c2c[nH]cc12,0.99
S10073,O=C1NN=CC2=C1NC=CC2=O,0.57
S10074,O=C1NN=CC2=C1C(=O)C=CN2,0.69
S10077,O=C1NN=Cc2nccnc12,0.96
S10078,O=C1NN=Cc2nncnc12,0.92
S10079,O=C1NN=Cc2ncnnc12,0.92
S1008,o1ccc2ccnn12,0.97
S10080,O=C1NC=NC2=C1C=NNC2=O,0.92
S10081,O=C1NC=NC2=C1C(=O)NN=C2,0.92
S10083,O=C1OC2=C(C=NNC2=O)N=C1,0.68
S10085,O=C1NN=CC2=C1C(=O)OC=N2,0.66
S10089,O=C1NN=CC2=C1C(=O)SC=N2,0.64
S1009,o1ccn2nccc12,0.99
S10090,O=C1NN=Cc2nnnnc12,0.85
S10097,O=C1NN=CC2=C1C(=O)NN=N2,0.77
S10099,O=C1NN=CC2=C1C(=O)ON=N2,0.54
S101,O=C1C=CNN=C1,0.88
S1010,o1cc2cn[nH]c2c1,1.0
S10103,O=C1NN=CC2=C1C(=O)SN=N2,0.77
S10107,O=C1NN=CC2=C1OC=CC2=O,0.9
S10108,O=C1NN=CC2=C1C(=O)C=CO2,0.9
S1011,c1cc2ccsn2n1,0.94
S10111,O=C1NN=CC2=C1C(=O)C=CS2,0.78
S10112,O=C1NN=CC2=C1SC=CC2=O,0.84
S10113,O=C1NN=CC2=C1NN=CC2=O,0.97
S1012,c1cc2sccn2n1,0.99
S10128,O=C1NC(=O)C2=C(O1)C(=O)NN=C2,0.77
S10129,O=C1NC(=O)C2=C(O1)C=NNC2=O,0.77
S1013,c1n[nH]c2cscc12,0.99
S10130,O=C1NC(=O)C2=C(S1)C(=O)NN=C2,0.86
S10131,O=C1NC(=O)C2=C(S1)C=NNC2=O,0.86
S1014,c1n[nH]c2[nH]ncc12,1.0
S10148,O=C1N=CC=C2C=CNN12,0.96
S10149,O=C1N=CC=C2NC=CN12,0.9
S1015,c1n[nH]c2cn[nH]c12,0.98
S10150,O=C1Nc2c[nH]cc2C=N1,0.94
S10151,O=C1N=CC=C2C=CON12,0.92
S10153,O=C1Nc2cocc2C=N1,0.91
S10154,O=C1N=CC=C2C=CSN12,0.52
S10155,O=C1N=CC=C2SC=CN12,0.95
S10156,O=C1Nc2cscc2C=N1,0.98
S10157,O=C1N=CC=C2C=NNN12,0.96
S10158,O=C1N=CC=C2NN=CN12,0.91
S10159,O=C1Nc2c[nH]nc2C=N1,0.94
S1016,c1cc2cn[nH]n2n1,0.96
S10160,O=C1Nc2n[nH]cc2C=N1,0.95
S10163,O=C1Nc2conc2C=N1,0.92
S10164,O=C1Nc2nocc2C=N1,0.92
S10166,O=C1N=CC=C2SN=CN12,0.75
S10167,O=C1Nc2csnc2C=N1,0.92
S10168,O=C1Nc2nscc2C=N1,0.93
S10169,O=C1N=CC=C2N=CNN12,0.96
S1017,c1cc2[nH]ncn2n1,0.99
S10170,O=C1N=CC=C2NC=NN12,0.94
S10172,O=C1N=CC=C2OC=NN12,0.89
S10174,O=C1N=CC=C2SC=NN12,0.9
S10175,O=C1N=CC=C2N=NNN12,0.96
S10176,O=C1N=CC=C2NN=NN12,0.92
S10177,O=C1Nc2n[nH]nc2C=N1,0.96
S1018,c1n[nH]c2n[nH]cc12,0.99
S10183,O=C1Nc2nonc2C=N1,0.92
S10184,O=C1Nc2nsnc2C=N1,0.92
